     # analyt         jacobi          gauss            sor
      -0.006462    -0.00649118    -0.00648957    -0.00648871
       -0.00644    -0.00646886    -0.00646741    -0.00646672
       -0.00641    -0.00644201    -0.00644072    -0.00644018
      -0.006376    -0.00640974    -0.00640861    -0.00640823
      -0.006338      -0.006371    -0.00637002    -0.00636979
      -0.006288    -0.00632451    -0.00632368    -0.00632358
       -0.00623    -0.00626872    -0.00626803    -0.00626806
      -0.006164    -0.00620175     -0.0062012    -0.00620135
      -0.006081    -0.00612133    -0.00612091    -0.00612116
       -0.00598    -0.00602469    -0.00602439    -0.00602474
      -0.005865    -0.00590848     -0.0059083    -0.00590872
      -0.005724    -0.00576861    -0.00576852    -0.00576901
      -0.005551    -0.00560007    -0.00560008    -0.00560061
      -0.005349    -0.00539677    -0.00539685    -0.00539741
      -0.005105    -0.00515121    -0.00515135    -0.00515192
      -0.004805    -0.00485423    -0.00485442    -0.00485498
      -0.004447    -0.00449459     -0.0044948    -0.00449534
      -0.004019    -0.00405849    -0.00405871    -0.00405921
      -0.003489    -0.00352908     -0.0035293    -0.00352973
      -0.002852    -0.00288583    -0.00288602    -0.00288638
      -0.002092    -0.00210392    -0.00210407    -0.00210432
      -0.001146    -0.00115366    -0.00115375    -0.00115388
      -0.001201    -0.00120497    -0.00120449    -0.00120394
      -0.002198    -0.00220505    -0.00220412    -0.00220308
      -0.003004    -0.00303404    -0.00303269     -0.0030312
      -0.003685    -0.00372076    -0.00371902    -0.00371713
      -0.004254    -0.00428952    -0.00428743    -0.00428516
      -0.004717    -0.00476069    -0.00475827    -0.00475568
      -0.005105    -0.00515121     -0.0051485    -0.00514562
      -0.005433    -0.00547511    -0.00547213      -0.005469
        -0.0057    -0.00574396    -0.00574074    -0.00573739
      -0.005923    -0.00596731    -0.00596387    -0.00596033
      -0.006113      -0.006153    -0.00614938    -0.00614568
      -0.006269    -0.00630752    -0.00630373    -0.00629991
      -0.006397    -0.00643619    -0.00643226    -0.00642834
      -0.006508    -0.00654341    -0.00653936    -0.00653536
        -0.0066    -0.00663279    -0.00662865    -0.00662459
      -0.006674    -0.00670735    -0.00670313    -0.00669904
